Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,4.050000,4.130000,4.010000,4.060000,3.821662,5894600
2006-01-04,4.050000,4.070000,3.980000,4.010000,3.774597,14450100
2006-01-05,3.990000,4.070000,3.980000,4.050000,3.812249,9802900
2006-01-06,4.100000,4.150000,4.070000,4.080000,3.840488,9621400
2006-01-09,4.100000,4.190000,4.070000,4.140000,3.896965,10613900
2006-01-10,4.180000,4.370000,4.120000,4.290000,4.038161,13982600
2006-01-11,4.350000,4.500000,4.310000,4.480000,4.217007,12070600
2006-01-12,4.380000,4.490000,4.310000,4.400000,4.141703,10301200
2006-01-13,4.390000,4.430000,4.340000,4.400000,4.141703,8377400
2006-01-17,4.340000,4.440000,4.330000,4.360000,4.104051,3605400
2006-01-18,4.320000,4.600000,4.280000,4.550000,4.282897,9015200
2006-01-19,4.600000,4.770000,4.600000,4.630000,4.358202,9205700
2006-01-20,4.650000,4.650000,4.410000,4.460000,4.198180,5503800
2006-01-23,4.500000,4.640000,4.430000,4.590000,4.320548,4592800
2006-01-24,4.640000,4.650000,4.540000,4.630000,4.358202,5262700
2006-01-25,4.600000,4.650000,4.550000,4.600000,4.329962,2569500
2006-01-26,4.610000,4.650000,4.560000,4.570000,4.301723,4311400
2006-01-27,4.540000,4.650000,4.530000,4.620000,4.348788,3182000
2006-01-30,4.630000,4.710000,4.600000,4.660000,4.386439,6308700
2006-01-31,4.680000,4.720000,4.600000,4.600000,4.329962,3807900
2006-02-01,4.550000,4.750000,4.530000,4.680000,4.405266,6081400
2006-02-02,4.680000,4.710000,4.500000,4.560000,4.292310,6812400
2006-02-03,4.550000,4.840000,4.470000,4.800000,4.518221,12645100
2006-02-06,4.790000,4.870000,4.700000,4.710000,4.433505,5303100
2006-02-07,4.710000,4.720000,4.640000,4.660000,4.386439,4030800
2006-02-08,4.670000,4.770000,4.650000,4.760000,4.480569,2973100
2006-02-09,4.760000,4.990000,4.730000,4.850000,4.565286,13011900
2006-02-10,4.880000,4.990000,4.770000,4.980000,4.687654,8404500
2006-02-13,4.990000,4.990000,4.810000,4.880000,4.593524,4865300
2006-02-14,4.910000,4.960000,4.810000,4.870000,4.584113,5155500
2006-02-15,4.840000,4.940000,4.840000,4.940000,4.650003,3833200
2006-02-16,4.970000,4.980000,4.920000,4.950000,4.659415,8358300
2006-02-17,5.200000,5.410000,5.200000,5.250000,4.941804,31726800
2006-02-21,5.240000,5.360000,5.130000,5.170000,4.866501,6795100
2006-02-22,5.180000,5.200000,5.060000,5.110000,4.810023,7378400
2006-02-23,5.110000,5.110000,4.950000,4.970000,4.678242,13210400
2006-02-24,4.960000,5.150000,4.910000,5.120000,4.819436,5318500
2006-02-27,5.160000,5.300000,5.140000,5.280000,4.970043,6006500
2006-02-28,5.240000,5.300000,5.220000,5.270000,4.960630,6998300
2006-03-01,5.300000,5.390000,5.270000,5.350000,5.035933,5289400
2006-03-02,5.350000,5.470000,5.230000,5.430000,5.111238,8900100
2006-03-03,5.410000,5.520000,5.350000,5.380000,5.064172,8312600
2006-03-06,5.410000,5.560000,5.340000,5.360000,5.045347,6108400
2006-03-07,5.380000,5.490000,5.370000,5.390000,5.073586,10180600
2006-03-08,5.400000,5.490000,5.380000,5.450000,5.130063,7237600
2006-03-09,5.490000,5.630000,5.480000,5.590000,5.261846,13993200
2006-03-10,5.670000,5.710000,5.540000,5.550000,5.224194,7171700
2006-03-13,5.600000,5.620000,5.560000,5.570000,5.243019,5329500
2006-03-14,5.590000,5.620000,5.530000,5.610000,5.280672,6515700
2006-03-15,5.600000,5.840000,5.560000,5.840000,5.497169,12656800
2006-03-16,5.840000,5.950000,5.750000,5.760000,5.421866,12033500
2006-03-17,6.280000,6.290000,5.910000,6.090000,5.732493,37984800
2006-03-20,6.120000,6.250000,6.030000,6.250000,5.883101,15582300
2006-03-21,6.460000,6.540000,6.200000,6.460000,6.080773,24375700
2006-03-22,6.430000,6.460000,6.300000,6.330000,5.958405,10919300
2006-03-23,6.330000,6.450000,6.250000,6.420000,6.043120,7994300
2006-03-24,6.450000,6.480000,6.320000,6.340000,5.967817,6282100
2006-03-27,6.350000,6.420000,6.280000,6.310000,5.939579,5220400
2006-03-28,6.340000,6.370000,6.210000,6.270000,5.901927,6548300
2006-03-29,6.270000,6.440000,6.210000,6.420000,6.043120,7937500
2006-03-30,6.420000,6.480000,6.280000,6.380000,6.005468,5486400
2006-03-31,6.530000,6.730000,6.500000,6.680000,6.287857,12019800
2006-04-03,6.730000,6.820000,6.590000,6.590000,6.203142,7201700
2006-04-04,6.580000,6.620000,6.280000,6.300000,5.930165,8865400
