Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,23.049999,23.920000,22.980000,23.320000,18.367722,4915700
2007-01-04,23.200001,24.219999,23.200001,24.110001,18.989952,4148700
2007-01-05,24.010000,24.510000,23.780001,24.040001,18.934814,3749800
2007-01-08,23.959999,24.440001,23.750000,24.389999,19.210489,3114700
2007-01-09,24.900000,25.150000,24.389999,24.860001,19.580687,4334000
2007-01-10,24.719999,24.940001,24.520000,24.840000,19.564930,2769700
2007-01-11,24.900000,25.180000,24.799999,24.860001,19.580687,1770400
2007-01-12,24.910000,24.950001,24.600000,24.860001,19.580687,2139900
2007-01-16,24.650000,25.770000,24.549999,25.240000,19.879980,4867600
2007-01-17,25.230000,25.250000,24.879999,25.110001,19.777590,2412200
2007-01-18,25.180000,25.180000,24.340000,24.440001,19.249874,4051500
2007-01-19,24.440001,24.600000,24.330000,24.410000,19.226244,2456500
2007-01-22,24.430000,24.530001,24.280001,24.480000,19.281380,3306200
2007-01-23,24.440001,24.700001,24.400000,24.580000,19.360142,2308700
2007-01-24,24.530001,24.680000,24.450001,24.629999,19.399519,1499500
2007-01-25,24.600000,24.700001,24.270000,24.280001,19.123850,1455700
2007-01-26,24.299999,24.670000,24.120001,24.660000,19.423153,2468900
2007-01-29,24.670000,24.670000,24.500000,24.540001,19.328634,1693500
2007-01-30,24.650000,24.750000,24.450001,24.690001,19.446781,1899600
2007-01-31,24.510000,24.840000,24.240000,24.549999,19.336506,3294700
2007-02-01,24.540001,25.030001,24.500000,25.000000,19.690948,3294400
2007-02-02,25.590000,27.270000,25.450001,26.690001,21.022058,8155800
2007-02-05,26.590000,26.670000,26.400000,26.620001,20.966925,2100600
2007-02-06,26.450001,26.580000,26.400000,26.500000,20.872406,2431900
2007-02-07,26.500000,26.889999,26.500000,26.850000,21.148079,2239800
2007-02-08,26.790001,27.000000,26.750000,26.959999,21.234722,1402700
2007-02-09,26.959999,27.000000,26.459999,26.690001,21.022058,1486000
2007-02-12,26.690001,26.840000,26.480000,26.520000,20.888159,1141900
2007-02-13,26.520000,26.889999,26.490000,26.799999,21.108700,1741600
2007-02-14,26.799999,26.940001,26.549999,26.840000,21.140203,2025400
2007-02-15,26.850000,26.990000,26.680000,26.809999,21.116571,1247500
2007-02-16,26.690001,27.040001,26.639999,26.809999,21.116571,1091400
2007-02-20,26.809999,27.250000,26.790001,27.209999,21.431629,1476600
2007-02-21,27.070000,27.290001,27.010000,27.190001,21.415876,1674400
2007-02-22,27.320000,27.459999,26.920000,27.040001,21.297733,1483600
2007-02-23,27.100000,27.100000,26.860001,27.020000,21.281973,1200500
2007-02-26,27.010000,27.230000,26.740000,26.799999,21.108700,927300
2007-02-27,26.670000,26.799999,25.750000,26.190001,20.628241,2346800
2007-02-28,26.139999,26.190001,25.690001,26.040001,20.510094,3333400
2007-03-01,25.799999,26.360001,25.500000,25.870001,20.376196,2606200
2007-03-02,25.860001,25.860001,25.469999,25.490000,20.076895,2572200
2007-03-05,25.200001,25.580000,25.010000,25.290001,19.919363,4053300
2007-03-06,25.360001,25.490000,25.129999,25.410000,20.013882,2047100
2007-03-07,25.299999,25.370001,25.100000,25.160000,19.816971,1875500
2007-03-08,25.190001,25.430000,25.139999,25.320000,19.942995,1580000
2007-03-09,25.510000,25.690001,25.260000,25.389999,19.998125,1215100
2007-03-12,25.260000,25.840000,25.260000,25.719999,20.258045,1109300
2007-03-13,25.660000,25.670000,25.030001,25.049999,19.761061,1626700
2007-03-14,25.059999,25.250000,24.650000,25.190001,19.871502,1766100
2007-03-15,25.190001,25.450001,25.090000,25.360001,20.005608,1163200
2007-03-16,25.410000,25.500000,25.129999,25.219999,19.895174,2353600
2007-03-19,25.260000,25.830000,25.260000,25.780001,20.336931,1835000
2007-03-20,25.719999,26.070000,25.620001,26.030001,20.534155,2144500
2007-03-21,25.969999,26.600000,25.870001,26.440001,20.857582,2805600
2007-03-22,26.520000,26.610001,26.290001,26.549999,20.944366,1756200
2007-03-23,26.510000,27.030001,26.340000,26.770000,21.117912,2457400
2007-03-26,26.770000,26.830000,26.400000,26.809999,21.149464,1308600
2007-03-27,26.639999,26.809999,26.360001,26.389999,20.818144,2248300
2007-03-28,26.389999,26.510000,25.889999,26.180000,20.652475,1577500
2007-03-29,26.240000,26.420000,25.910000,26.040001,20.542038,1997000
2007-03-30,26.090000,26.120001,25.700001,25.910000,20.439484,1607200
2007-04-02,25.990000,26.000000,25.629999,25.850000,20.392159,1514500
2007-04-03,26.000000,26.160000,25.940001,26.129999,20.613035,1860200
2007-04-04,26.049999,26.160000,25.889999,26.020000,20.526258,1484800
2007-04-05,25.950001,26.350000,25.790001,26.350000,20.786589,1545600
2007-04-09,26.340000,26.400000,26.090000,26.240000,20.699804,959600
2007-04-10,26.170000,26.200001,25.860001,26.080000,20.573593,1442900
2007-04-11,26.010000,26.160000,25.889999,25.959999,20.478928,1993200
2007-04-12,25.990000,26.400000,25.900000,26.360001,20.794472,1297400
2007-04-13,27.000000,27.000000,26.170000,26.350000,20.786589,1136300
2007-04-16,26.340000,26.500000,26.260000,26.469999,20.881248,1001100
2007-04-17,26.420000,26.629999,26.370001,26.590000,20.975912,797000
2007-04-18,26.510000,26.580000,26.280001,26.490000,20.897030,1504000
2007-04-19,26.250000,26.559999,26.250000,26.490000,20.897030,1825800
