Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,17.209999,17.490000,17.180000,17.450001,14.417309,55426000
2006-01-04,17.480000,17.930000,17.459999,17.850000,14.747796,80408900
2006-01-05,17.940001,18.480000,17.930000,18.350000,15.160897,118575500
2006-01-06,18.510000,18.879999,18.469999,18.770000,15.507905,122446000
2006-01-09,18.969999,19.110001,18.920000,19.059999,15.747508,78592600
2006-01-10,18.870001,19.150000,18.780001,18.969999,15.673145,73828200
2006-01-11,18.980000,19.430000,18.940001,19.400000,16.028418,73933100
2006-01-12,19.270000,19.350000,19.080000,19.200001,15.863178,59581300
2006-01-13,19.129999,19.330000,18.889999,18.920000,15.631835,52349600
2006-01-17,18.700001,18.780001,18.469999,18.680000,15.433547,53125200
2006-01-18,18.400000,18.850000,18.370001,18.730000,15.474864,69475200
2006-01-19,18.850000,19.120001,18.820000,19.020000,15.714458,54516900
2006-01-20,18.910000,18.930000,18.240000,18.510000,15.293091,77815100
2006-01-23,18.540001,18.559999,18.129999,18.160000,15.003916,54554200
2006-01-24,18.170000,18.469999,18.150000,18.330000,15.144377,50574700
2006-01-25,18.350000,18.610001,18.260000,18.570000,15.342664,51610600
2006-01-26,18.570000,18.690001,18.250000,18.580000,15.350923,64896300
2006-01-27,18.580000,18.950001,18.559999,18.780001,15.516169,48720700
2006-01-30,18.690001,18.950001,18.670000,18.889999,15.607048,43844300
2006-01-31,18.700001,18.740000,18.320000,18.570000,15.342664,64719200
2006-02-01,18.400000,18.620001,18.350000,18.580000,15.350923,53734600
2006-02-02,18.459999,18.750000,18.299999,18.370001,15.177422,40284100
2006-02-03,18.290001,18.330000,17.950001,18.150000,14.995656,71696800
2006-02-06,18.030001,18.100000,17.830000,17.830000,14.731273,51811100
2006-02-07,17.840000,18.200001,17.820000,18.090000,14.946086,78522100
2006-02-08,19.270000,19.500000,19.110001,19.400000,16.028418,200671700
2006-02-09,19.520000,19.980000,19.469999,19.549999,16.152344,119726500
2006-02-10,19.610001,19.879999,19.600000,19.760000,16.325853,73782500
2006-02-13,19.620001,19.850000,19.320000,19.549999,16.152344,58621900
2006-02-14,19.639999,19.860001,19.580000,19.700001,16.276281,55792800
2006-02-15,19.600000,19.959999,19.600000,19.940001,16.474566,65024300
2006-02-16,19.910000,20.000000,19.830000,19.980000,16.507614,46990700
2006-02-17,19.940001,19.990000,19.830000,19.860001,16.408472,35965900
2006-02-21,19.709999,19.900000,19.450001,19.580000,16.177132,47666600
2006-02-22,19.570000,19.930000,19.570000,19.670000,16.251495,57719700
2006-02-23,19.620001,19.850000,19.559999,19.719999,16.292799,48143700
2006-02-24,19.700001,19.910000,19.680000,19.850000,16.400211,37444900
2006-02-27,19.850000,20.000000,19.830000,19.969999,16.499353,55854400
2006-02-28,19.959999,20.400000,19.860001,20.240000,16.722431,137099800
2006-03-01,20.379999,21.120001,20.340000,21.059999,17.399921,160237700
2006-03-02,20.930000,21.059999,20.700001,20.879999,17.251198,69236400
2006-03-03,20.700001,21.330000,20.660000,21.040001,17.383394,76428600
2006-03-06,20.969999,21.480000,20.879999,21.049999,17.391663,85155100
2006-03-07,20.930000,20.980000,20.680000,20.870001,17.242943,47523100
2006-03-08,20.709999,20.990000,20.680000,20.860001,17.234682,54435200
