Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-04,56.099998,56.500000,56.000000,56.000000,-9.131148,2300
2006-01-05,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-06,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-09,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-10,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-11,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-12,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-13,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-17,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-18,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-19,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-20,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-23,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-24,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-25,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-26,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-27,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-30,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-01-31,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-01,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-02,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-03,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-06,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-07,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-08,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-09,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-10,54.150002,54.150002,53.500000,53.500000,-8.723508,0
2006-02-13,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-14,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-15,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-16,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-17,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-21,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-22,4.862000,4.862000,4.862000,4.862000,-0.792779,0
2006-02-23,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-02-24,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-02-27,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-02-28,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-01,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-02,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-03,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-06,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-07,56.799999,56.799999,56.150002,56.150002,-9.155606,0
2006-03-08,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-09,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-10,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-13,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-14,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-15,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-16,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-17,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-20,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-21,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-22,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-23,463.279999,464.350006,463.279999,464.350006,-75.715157,10000
2006-03-24,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-27,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-28,7.500000,7.500000,7.500000,7.500000,-1.222922,0
2006-03-29,54.099998,54.099998,53.650002,53.650002,-9.208388,0
2006-03-30,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-03-31,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-03,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-04,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-05,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-06,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-07,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-10,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-11,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-12,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-13,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-17,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-18,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-19,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-20,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-04-21,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-04-24,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-04-25,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-04-26,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-04-27,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-04-28,453.640015,453.910004,451.609985,451.609985,-77.513466,10000
2006-05-01,41.150002,41.889999,41.099998,41.680000,-7.153877,10030900
2006-05-02,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-03,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-04,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-05,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-08,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-09,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-10,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-11,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-12,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-15,461.109985,461.279999,460.720001,460.720001,-79.077141,10000
2006-05-16,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-17,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-18,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-19,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-22,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-23,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-24,5.800000,5.800000,5.800000,5.800000,-0.995501,0
2006-05-25,443.670013,443.720001,443.670013,443.720001,-76.159271,5000
2006-05-26,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-05-30,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-05-31,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-01,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-02,462.519989,462.519989,462.119995,462.119995,-79.317429,5000
2006-06-05,455.420013,455.549988,455.420013,455.549988,-78.189774,5000
2006-06-06,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-07,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-08,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-09,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-12,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-13,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-14,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-15,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-16,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-19,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-20,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-21,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-22,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-23,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-26,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-27,7.500000,7.500000,7.500000,7.500000,-1.287286,0
2006-06-28,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-06-29,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-06-30,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-03,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-05,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-06,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-07,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-10,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-11,7.500000,7.500000,7.500000,7.500000,-1.355037,0
2006-07-12,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-13,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-14,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-17,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-18,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-19,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-20,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-21,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-24,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-25,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-26,411.970001,412.000000,408.519989,408.630005,-73.827896,10000
2006-07-27,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-28,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-07-31,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-01,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-02,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-03,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-04,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-07,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-08,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-09,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-10,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-11,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-14,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-15,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-16,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-17,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-18,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-21,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-22,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-23,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-24,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-25,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-28,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-29,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-30,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-08-31,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-01,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-05,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-06,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-07,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-08,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-11,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-12,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-13,420.649994,421.690002,420.649994,421.690002,-76.187454,10000
2006-09-14,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-15,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-18,0.200000,0.200000,0.200000,0.200000,-0.036134,0
2006-09-19,0.200000,0.200000,0.200000,0.200000,-0.036134,0
