Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,47.500000,47.599998,46.369999,46.700001,33.919357,5882300
2007-01-04,46.250000,46.389999,45.599998,46.099998,33.483559,4498700
2007-01-05,46.080002,46.099998,43.849998,44.470001,32.299648,7855700
2007-01-08,44.970001,45.240002,44.240002,45.099998,32.757233,6748200
2007-01-09,44.650002,44.730000,43.450001,43.950001,31.921957,6888800
2007-01-10,43.290001,44.459999,43.110001,44.270000,32.154381,8647700
2007-01-11,44.540001,45.439999,44.270000,44.669998,32.444912,8105900
2007-01-12,44.990002,45.549999,44.730000,45.500000,33.047764,5076000
2007-01-16,44.750000,45.259998,44.650002,44.950001,32.648277,3887700
2007-01-17,44.630001,45.240002,44.540001,44.980000,32.670063,3523500
2007-01-18,45.560001,45.720001,44.389999,44.689999,32.459442,5269800
2007-01-19,44.709999,45.910000,44.709999,45.770000,33.243874,4259100
2007-01-22,46.349998,46.419998,45.490002,45.930000,33.360077,5317900
2007-01-23,45.950001,47.180000,45.900002,47.150002,34.246201,6448200
2007-01-24,47.189999,47.799999,46.860001,47.520000,34.514946,5304200
2007-01-25,47.599998,47.750000,46.130001,46.590000,33.839466,7539800
2007-01-26,47.000000,47.110001,46.299999,47.000000,34.137253,5968600
2007-01-29,46.759998,46.810001,45.889999,45.950001,33.374603,6813700
2007-01-30,46.259998,46.680000,45.889999,46.520000,33.788620,3535000
2007-01-31,46.759998,47.580002,46.459999,47.250000,34.318825,6046300
2007-02-01,47.970001,48.369999,47.720001,47.990002,34.856312,5851000
2007-02-02,48.110001,48.150002,47.509998,48.040001,34.892635,6243200
2007-02-05,48.340000,48.669998,48.040001,48.549999,35.263054,4585900
2007-02-06,48.810001,48.930000,48.240002,48.669998,35.350212,5376400
2007-02-07,48.310001,48.450001,47.500000,47.880001,34.776421,6567000
2007-02-08,47.299999,48.070000,47.060001,48.070000,34.914413,5708000
2007-02-09,47.639999,48.029999,46.799999,47.340000,34.384201,5570800
2007-02-12,46.959999,47.189999,46.299999,46.709999,33.926609,5180200
2007-02-13,46.990002,48.180000,46.900002,48.180000,34.994316,4854700
2007-02-14,48.180000,49.099998,48.009998,48.570000,35.277569,7634400
2007-02-15,48.919998,49.160000,48.660000,48.930000,35.539055,3821600
2007-02-16,48.470001,49.009998,48.349998,49.009998,35.597164,2348500
2007-02-20,48.599998,49.020000,48.200001,49.020000,35.604427,3114800
2007-02-21,48.799999,49.259998,48.299999,49.110001,35.669792,5520100
2007-02-22,49.740002,49.980000,49.099998,49.310001,35.815063,7874800
2007-02-23,49.349998,49.549999,48.500000,49.020000,35.604427,6190600
2007-02-26,49.490002,49.500000,48.639999,49.240002,35.764210,4763400
2007-02-27,46.799999,47.070000,43.400002,45.009998,32.691860,19721700
2007-02-28,45.669998,46.049999,45.029999,45.820000,33.280193,10331000
2007-03-01,43.759998,45.840000,43.270000,45.430000,32.996918,12371100
2007-03-02,44.959999,45.400002,43.779999,43.840000,31.842066,11013500
2007-03-05,42.439999,43.790001,39.799999,42.700001,31.014053,12755600
2007-03-06,44.009998,45.430000,44.009998,45.430000,32.996918,11685500
2007-03-07,45.150002,45.820000,44.650002,44.959999,32.655548,7644400
2007-03-08,46.070000,46.320000,45.470001,45.849998,33.301979,6616200
2007-03-09,46.619999,46.720001,45.950001,46.639999,33.875771,6769800
