Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,43.650002,44.380001,43.500000,43.869999,31.467432,7579100
2007-01-04,43.750000,43.860001,42.869999,43.540001,31.230724,9776100
2007-01-05,43.400002,43.820000,43.340000,43.540001,31.230724,5701000
2007-01-08,43.500000,43.849998,43.250000,43.709999,31.352669,4538500
2007-01-09,43.860001,44.150002,43.590000,43.790001,31.410057,6832800
2007-01-10,43.779999,44.290001,43.459999,44.259998,31.747168,6374800
2007-01-11,44.220001,44.599998,44.110001,44.509998,31.926491,5626900
2007-01-12,44.669998,44.680000,44.090000,44.220001,31.718491,7103000
2007-01-16,44.360001,44.650002,44.169998,44.570000,31.969536,5377700
2007-01-17,44.570000,45.060001,44.389999,44.860001,32.177547,9439700
2007-01-18,44.869999,44.990002,44.520000,44.590000,31.983881,4690400
2007-01-19,44.669998,44.900002,44.299999,44.810001,32.141693,5116900
2007-01-22,44.799999,44.799999,44.200001,44.349998,31.811735,4918000
2007-01-23,44.549999,45.000000,44.400002,44.849998,32.170372,6140200
2007-01-24,44.450001,44.480000,44.040001,44.160000,31.675455,11019000
2007-01-25,43.980000,44.139999,42.860001,43.000000,30.843390,10630200
2007-01-26,43.020000,43.090000,42.540001,42.930000,30.793180,8542300
2007-01-29,42.779999,43.650002,42.750000,43.230000,31.008373,8262100
2007-01-30,43.480000,43.849998,43.480000,43.770000,31.395700,5818200
2007-01-31,43.770000,44.439999,43.650002,44.349998,31.811735,7350900
2007-02-01,44.259998,44.520000,44.200001,44.480000,31.904984,6086700
2007-02-02,44.480000,44.740002,44.419998,44.540001,31.948015,4724100
2007-02-05,44.459999,44.709999,44.299999,44.529999,31.940847,3520900
2007-02-06,44.700001,44.860001,44.430000,44.770000,32.112995,4016600
2007-02-07,44.750000,44.880001,44.459999,44.720001,32.077126,3362000
2007-02-08,44.730000,44.840000,44.139999,44.349998,31.811735,6018400
2007-02-09,44.470001,44.900002,44.419998,44.560001,31.962364,4946700
2007-02-12,44.500000,44.900002,44.400002,44.730000,32.084293,5649800
2007-02-13,44.849998,44.970001,44.709999,44.900002,32.206242,5110800
2007-02-14,44.950001,45.049999,44.709999,45.020000,32.292332,5361000
2007-02-15,44.900002,45.240002,44.840000,44.980000,32.263618,4127300
2007-02-16,45.000000,45.380001,44.860001,45.320000,32.507496,6806600
2007-02-20,45.169998,45.900002,45.049999,45.799999,32.851795,7022100
2007-02-21,45.740002,46.119999,45.740002,45.970001,32.973728,5621200
2007-02-22,45.849998,46.090000,45.810001,46.049999,33.031116,4804000
2007-02-23,46.049999,46.209999,45.830002,46.009998,33.002426,3857700
2007-02-26,46.000000,46.150002,45.759998,45.799999,32.851795,5905200
2007-02-27,45.540001,45.750000,44.000000,44.459999,31.890623,9690200
2007-02-28,44.560001,44.560001,43.380001,43.689999,31.338324,11700600
2007-03-01,43.490002,44.439999,42.939999,44.099998,31.632406,10729800
2007-03-02,44.099998,44.470001,43.630001,43.669998,31.323975,6448300
2007-03-05,43.459999,43.730000,42.849998,42.910000,30.778831,6868500
