Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,18.700001,19.809999,18.700001,19.549999,17.782600,3933700
2007-01-04,19.680000,19.750000,18.840000,19.660000,17.882656,1373000
2007-01-05,19.709999,19.709999,19.000000,19.100000,17.373289,867800
2007-01-08,19.150000,19.170000,18.700001,18.730000,17.036734,1096900
2007-01-09,18.750000,19.100000,18.530001,18.690001,17.000351,638000
2007-01-10,18.559999,18.740000,18.219999,18.520000,16.845718,955800
2007-01-11,18.680000,18.830000,18.290001,18.420000,16.754763,1133500
2007-01-12,18.400000,18.500000,18.280001,18.430000,16.763857,766400
2007-01-16,18.400000,19.200001,18.400000,18.940001,17.227749,1531900
2007-01-17,19.000000,19.350000,18.900000,19.020000,17.300518,1460400
2007-01-18,19.160000,19.170000,18.840000,19.059999,17.336901,1308800
2007-01-19,18.870001,19.350000,18.850000,19.209999,17.473341,1199200
2007-01-22,19.400000,19.430000,18.790001,19.040001,17.318710,2322700
2007-01-23,18.950001,19.549999,18.950001,19.420000,17.664356,1333800
2007-01-24,19.400000,20.660000,19.320000,20.600000,18.737680,3035100
2007-01-25,20.680000,20.850000,20.070000,20.170000,18.346558,1235600
2007-01-26,20.200001,20.540001,20.190001,20.440001,18.592148,641300
2007-01-29,20.500000,21.290001,20.370001,20.400000,18.555765,2151700
2007-01-30,20.290001,20.400000,20.059999,20.260000,18.428421,709100
2007-01-31,20.080000,20.510000,20.000000,20.440001,18.592148,727600
2007-02-01,20.320000,20.410000,19.600000,20.110001,18.291981,917100
2007-02-02,19.750000,20.440001,19.620001,20.290001,18.455708,1278300
2007-02-05,20.299999,20.440001,19.920000,20.360001,18.519377,1033900
2007-02-06,20.110001,20.270000,19.860001,20.139999,18.319267,667700
2007-02-07,20.059999,20.400000,19.959999,19.990000,18.182829,2208100
2007-02-08,20.090000,20.600000,19.799999,20.010000,18.201019,1451800
2007-02-09,20.040001,20.360001,19.430000,19.459999,17.700741,1617600
2007-02-12,19.500000,20.040001,19.160000,19.299999,17.555206,968700
2007-02-13,19.760000,19.950001,19.120001,19.389999,17.637066,711500
2007-02-14,19.750000,19.950001,19.549999,19.610001,17.837181,575000
2007-02-15,19.600000,19.820000,19.379999,19.700001,17.919044,683400
2007-02-16,19.629999,20.100000,19.629999,20.049999,18.237398,1257600
2007-02-20,20.440001,21.209999,20.260000,20.969999,19.074230,1806000
2007-02-21,20.900000,21.280001,20.750000,21.180000,19.265249,862600
2007-02-22,21.180000,21.379999,20.980000,21.219999,19.301632,679100
2007-02-23,21.250000,21.360001,20.610001,21.260000,19.338015,1469900
2007-02-26,21.299999,21.860001,21.260000,21.820000,19.847387,2939700
2007-02-27,20.700001,21.240000,19.680000,20.100000,18.282883,3457100
2007-02-28,20.389999,20.709999,20.100000,20.400000,18.555765,1229600
2007-03-01,20.040001,20.480000,19.559999,20.200001,18.373846,691000
2007-03-02,20.070000,20.480000,19.760000,19.910000,18.110060,695200
2007-03-05,19.750000,19.760000,19.059999,19.129999,17.400570,1411700
2007-03-06,19.410000,19.889999,19.379999,19.840000,18.046383,1185300
2007-03-07,19.870001,19.959999,19.049999,19.100000,17.373289,1558400
2007-03-08,19.230000,19.459999,18.809999,18.910000,17.200466,1280400
2007-03-09,18.820000,19.030001,18.040001,18.450001,16.782049,2122300
2007-03-12,18.510000,19.000000,18.510000,18.770000,17.073120,1090800
2007-03-13,18.700001,18.910000,18.299999,18.320000,16.663803,826200
2007-03-14,18.330000,18.510000,17.920000,18.200001,16.554651,1194900
2007-03-15,18.330000,18.559999,18.160000,18.219999,16.572840,869100
2007-03-16,18.200001,18.430000,17.980000,18.139999,16.500072,822900
2007-03-19,18.350000,18.610001,18.120001,18.230000,16.581936,598000
2007-03-20,18.340000,18.340000,18.000000,18.200001,16.554651,719100
2007-03-21,18.309999,18.570000,18.200001,18.469999,16.800238,1312100
2007-03-22,18.580000,18.719999,18.090000,18.120001,16.481880,1380900
2007-03-23,18.209999,18.450001,18.070000,18.209999,16.563749,950400
2007-03-26,18.150000,18.340000,18.000000,18.209999,16.563749,500300
2007-03-27,18.230000,18.360001,18.110001,18.180000,16.536459,461100
2007-03-28,18.090000,18.090000,17.719999,17.920000,16.299961,876400
2007-03-29,17.969999,17.990000,17.510000,17.670000,16.072565,643600
2007-03-30,17.760000,18.059999,17.670000,17.740000,16.136232,793300
2007-04-02,17.940001,17.950001,17.230000,17.660000,16.063467,1253900
2007-04-03,17.750000,17.940001,17.459999,17.549999,15.963408,1137500
2007-04-04,17.650000,17.650000,17.270000,17.330000,15.763300,1104200
2007-04-05,17.299999,17.520000,17.160000,17.260000,15.699634,711800
2007-04-09,17.280001,17.500000,17.240000,17.340000,15.772397,734000
2007-04-10,17.290001,17.500000,16.889999,17.059999,15.517713,1411100
2007-04-11,17.059999,17.209999,16.930000,17.049999,15.508615,834600
2007-04-12,17.010000,17.430000,17.010000,17.370001,15.799685,644900
2007-04-13,17.250000,17.410000,17.200001,17.330000,15.763300,338300
2007-04-16,17.330000,18.059999,17.330000,17.730000,16.127138,818300
2007-04-17,18.480000,18.700001,18.100000,18.139999,16.500072,1673600
2007-04-18,18.270000,18.900000,18.080000,18.770000,17.073120,1952100
2007-04-19,18.400000,18.870001,18.400000,18.570000,16.891199,1040200
2007-04-20,18.650000,18.920000,18.309999,18.510000,16.836630,632700
2007-04-23,18.500000,18.600000,18.219999,18.299999,16.645609,700600
2007-04-24,18.240000,18.490000,18.049999,18.150000,16.509172,516600
2007-04-25,18.150000,18.680000,18.150000,18.580000,16.900293,1078700
2007-04-26,18.600000,19.219999,18.540001,19.150000,17.418766,1900200
2007-04-27,19.230000,19.540001,19.070000,19.110001,17.382385,1231800
2007-04-30,18.690001,18.750000,17.959999,18.080000,16.445498,1899900
2007-05-01,18.010000,18.209999,17.620001,17.990000,16.363638,1232700
2007-05-02,17.900000,18.020000,17.740000,17.870001,16.254486,667500
2007-05-03,17.860001,18.110001,17.740000,17.900000,16.281771,593400
2007-05-04,18.000000,18.129999,17.879999,17.900000,16.281771,426600
2007-05-07,18.090000,18.090000,17.709999,17.790001,16.181719,404000
2007-05-08,17.790001,17.990000,17.690001,17.820000,16.209003,337000
2007-05-09,17.690001,18.260000,17.549999,18.000000,16.372732,757900
2007-05-10,17.940001,18.090000,17.709999,17.809999,16.199903,414800
2007-05-11,17.850000,18.280001,17.760000,18.030001,16.400017,796400
2007-05-14,18.180000,18.180000,17.850000,17.950001,16.327253,601600
2007-05-15,18.020000,18.040001,17.770000,17.780001,16.172619,428200
2007-05-16,17.850000,17.900000,17.650000,17.700001,16.099852,509600
2007-05-17,17.650000,17.750000,17.530001,17.709999,16.108948,452000
2007-05-18,17.959999,18.059999,17.709999,17.830000,16.218100,996200
2007-05-21,18.000000,18.400000,18.000000,18.290001,16.636513,2627500
2007-05-22,17.820000,18.049999,17.610001,17.980000,16.354538,2191200
2007-05-23,17.900000,18.000000,17.540001,17.650000,16.054371,873500
2007-05-24,17.530001,17.600000,16.969999,17.200001,15.645053,1076200
2007-05-25,17.110001,17.600000,17.110001,17.280001,15.717823,628500
2007-05-29,17.610001,17.980000,17.610001,17.820000,16.209003,2109200
2007-05-30,17.389999,17.990000,17.389999,17.930000,16.309057,2101200
2007-05-31,17.809999,18.100000,17.790001,18.049999,16.418207,1504700
2007-06-01,18.100000,18.320000,18.100000,18.200001,16.554651,1909200
2007-06-04,18.040001,18.260000,18.000000,18.219999,16.572840,996600
2007-06-05,18.010000,18.379999,17.950001,18.280001,16.627413,1296900
2007-06-06,17.980000,18.500000,17.980000,18.420000,16.754763,1119000
2007-06-07,18.139999,18.480000,17.920000,17.950001,16.327253,754500
2007-06-08,18.000000,18.389999,17.950001,18.340000,16.681993,820900
2007-06-11,18.250000,18.469999,18.040001,18.100000,16.463688,546000
2007-06-12,18.000000,18.049999,17.549999,17.750000,16.145336,1257800
