Date,Open,High,Low,Close,Adj Close,Volume
2007-12-03,5.200000,5.200000,5.200000,5.200000,5.200000,300
2007-12-04,4.900000,4.900000,4.900000,4.900000,4.900000,2000
2007-12-05,4.900000,4.900000,4.500000,4.500000,4.500000,14700
2007-12-06,4.500000,4.500000,4.300000,4.300000,4.300000,22900
2007-12-07,4.750000,4.900000,4.650000,4.900000,4.900000,11900
2007-12-10,4.880000,4.900000,4.880000,4.900000,4.900000,5700
2007-12-11,4.950000,4.970000,4.930000,4.930000,4.930000,14600
2007-12-12,4.930000,4.930000,4.930000,4.930000,4.930000,0
2007-12-13,4.950000,4.990000,4.830000,4.840000,4.840000,33600
2007-12-14,4.840000,4.940000,4.840000,4.940000,4.940000,5700
2007-12-17,4.900000,4.900000,4.900000,4.900000,4.900000,500
2007-12-18,4.900000,4.900000,4.900000,4.900000,4.900000,0
2007-12-19,4.900000,4.900000,4.900000,4.900000,4.900000,0
2007-12-20,4.900000,4.900000,4.700000,4.700000,4.700000,6500
2007-12-21,4.700000,4.700000,4.700000,4.700000,4.700000,0
2007-12-24,4.700000,4.700000,4.700000,4.700000,4.700000,0
2007-12-27,4.700000,4.700000,4.700000,4.700000,4.700000,0
2007-12-28,4.900000,4.940000,4.900000,4.940000,4.940000,2500
2007-12-31,4.900000,4.900000,4.900000,4.900000,4.900000,200
2008-01-02,4.900000,4.900000,4.900000,4.900000,4.900000,0
2008-01-03,4.900000,4.900000,4.900000,4.900000,4.900000,0
2008-01-04,4.850000,4.850000,4.850000,4.850000,4.850000,1000
2008-01-07,4.310000,4.310000,4.300000,4.300000,4.300000,4400
2008-01-08,4.300000,4.300000,4.300000,4.300000,4.300000,0
2008-01-09,4.300000,4.300000,4.300000,4.300000,4.300000,0
2008-01-10,4.300000,4.450000,4.300000,4.450000,4.450000,16000
2008-01-11,3.910000,4.350000,3.900000,4.350000,4.350000,2000
2008-01-14,4.350000,4.350000,4.350000,4.350000,4.350000,1000
2008-01-15,3.900000,3.900000,3.900000,3.900000,3.900000,1800
2008-01-16,3.900000,3.900000,3.900000,3.900000,3.900000,0
2008-01-17,3.760000,3.760000,3.760000,3.760000,3.760000,500
2008-01-18,3.850000,3.900000,3.210000,3.900000,3.900000,6800
2008-01-21,3.900000,3.900000,3.900000,3.900000,3.900000,0
2008-01-22,3.570000,3.600000,3.570000,3.600000,3.600000,2000
2008-01-23,3.210000,3.210000,3.210000,3.210000,3.210000,1500
2008-01-24,3.650000,3.950000,3.650000,3.950000,3.950000,4900
2008-01-25,3.800000,3.800000,3.800000,3.800000,3.800000,100
2008-01-28,3.210000,3.210000,3.210000,3.210000,3.210000,800
