Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,6.810000,6.820000,6.450000,6.520000,6.349009,72062300
2006-01-04,6.450000,6.500000,6.280000,6.360000,6.193205,63817600
2006-01-05,6.450000,6.460000,6.350000,6.390000,6.222418,44321100
2006-01-06,6.500000,6.540000,6.400000,6.540000,6.368484,42477400
2006-01-09,6.750000,6.760000,6.540000,6.570000,6.397698,73075200
2006-01-10,6.600000,6.630000,6.450000,6.500000,6.329534,39217800
2006-01-11,6.430000,6.430000,6.040000,6.120000,5.959499,131332800
2006-01-12,6.030000,6.510000,5.910000,6.200000,6.037401,132392500
2006-01-13,6.350000,6.440000,6.250000,6.280000,6.115303,48235100
2006-01-17,6.300000,6.310000,6.200000,6.200000,6.037401,27465500
2006-01-18,6.090000,6.300000,6.050000,6.290000,6.125041,48562000
2006-01-19,6.330000,6.400000,6.260000,6.350000,6.183467,37029000
2006-01-20,6.400000,6.450000,6.250000,6.300000,6.134779,47089900
2006-01-23,6.230000,6.400000,6.090000,6.110000,5.949761,51719000
2006-01-24,6.150000,6.170000,5.860000,5.900000,5.745268,64876400
2006-01-25,5.930000,6.050000,5.830000,5.920000,5.764744,44950700
2006-01-26,5.960000,5.970000,5.790000,5.820000,5.667366,45521900
2006-01-27,5.750000,5.910000,5.720000,5.870000,5.716056,47561700
2006-01-30,5.880000,5.950000,5.830000,5.860000,5.706317,23921000
2006-01-31,5.850000,5.880000,5.660000,5.670000,5.521300,45256700
2006-02-01,5.630000,5.730000,5.510000,5.710000,5.560251,57251800
2006-02-02,5.680000,5.770000,5.530000,5.540000,5.394710,34466800
2006-02-03,5.540000,5.540000,5.230000,5.330000,5.190218,80135700
2006-02-06,5.490000,5.600000,5.410000,5.490000,5.346021,48594300
2006-02-07,5.520000,5.790000,5.460000,5.760000,5.608941,78858000
2006-02-08,5.980000,6.140000,5.900000,5.980000,5.823171,81518200
2006-02-09,6.060000,6.100000,5.740000,5.800000,5.647892,59198700
2006-02-10,5.890000,5.890000,5.720000,5.740000,5.589465,42083600
2006-02-13,5.750000,5.770000,5.600000,5.610000,5.462875,56884500
2006-02-14,5.670000,5.700000,5.550000,5.640000,5.492087,48569200
2006-02-15,5.700000,5.850000,5.660000,5.820000,5.667366,49283000
2006-02-16,5.650000,5.780000,5.610000,5.650000,5.501825,74177700
2006-02-17,5.470000,5.570000,5.250000,5.260000,5.122053,123349700
2006-02-21,5.310000,5.350000,5.100000,5.180000,5.044150,59616100
2006-02-22,5.210000,5.350000,5.200000,5.290000,5.151267,38423000
2006-02-23,5.270000,5.350000,5.210000,5.220000,5.083102,32840400
2006-02-24,5.220000,5.240000,5.130000,5.180000,5.044150,32616200
2006-02-27,5.180000,5.260000,5.150000,5.230000,5.092840,39323100
2006-02-28,5.200000,5.210000,5.080000,5.110000,4.975987,37162700
2006-03-01,4.980000,5.100000,4.860000,5.040000,4.907823,76205700
2006-03-02,5.120000,5.160000,5.060000,5.080000,4.946774,32177000
2006-03-03,5.050000,5.080000,5.000000,5.010000,4.878610,28765200
2006-03-06,5.020000,5.050000,4.890000,4.910000,4.781232,40620700
2006-03-07,4.970000,5.000000,4.870000,4.920000,4.790970,41555900
2006-03-08,4.910000,4.920000,4.700000,4.770000,4.644904,55704700
2006-03-09,4.910000,4.990000,4.840000,4.890000,4.761756,40924900
2006-03-10,4.930000,4.930000,4.760000,4.780000,4.654641,35107700
2006-03-13,4.790000,4.800000,4.540000,4.600000,4.479362,60706600
2006-03-14,4.530000,4.590000,4.360000,4.450000,4.333295,98531500
2006-03-15,4.450000,4.610000,4.410000,4.480000,4.362510,63099600
2006-03-16,4.510000,4.550000,4.480000,4.510000,4.391722,26736900
2006-03-17,4.650000,4.900000,4.590000,4.890000,4.761756,80961500
2006-03-20,5.160000,5.290000,5.030000,5.110000,4.975987,97331200
2006-03-21,5.120000,5.250000,5.100000,5.120000,4.985725,52642200
2006-03-22,5.130000,5.140000,4.860000,4.860000,4.732543,68588800
2006-03-23,4.830000,5.150000,4.750000,5.140000,5.005200,71809400
2006-03-24,5.100000,5.170000,5.010000,5.030000,4.898085,59006700
2006-03-27,5.130000,5.150000,5.000000,5.010000,4.878610,35336200
2006-03-28,4.990000,5.080000,4.910000,4.940000,4.810446,28810300
2006-03-29,4.970000,5.040000,4.950000,4.990000,4.859134,28185300
2006-03-30,4.930000,5.150000,4.930000,5.050000,4.917561,38110500
2006-03-31,5.110000,5.110000,5.040000,5.070000,4.937036,12612000
2006-04-03,5.120000,5.180000,5.040000,5.060000,4.927298,33762600
2006-04-04,5.070000,5.100000,5.040000,5.060000,4.927298,15727800
2006-04-05,5.070000,5.080000,4.980000,5.040000,4.907823,26259500
2006-04-06,5.060000,5.420000,5.040000,5.410000,5.268119,128105600
2006-04-07,5.450000,5.570000,5.280000,5.310000,5.170742,78353000
2006-04-10,5.320000,5.420000,5.270000,5.300000,5.161004,32217500
2006-04-11,5.310000,5.350000,5.180000,5.200000,5.063626,20124300
2006-04-12,5.230000,5.250000,5.140000,5.200000,5.063626,25659900
2006-04-13,5.240000,5.390000,5.180000,5.320000,5.180480,56725700
2006-04-17,5.330000,5.330000,5.100000,5.120000,4.985725,31843000
2006-04-18,5.190000,5.230000,5.120000,5.170000,5.034413,34996900
2006-04-19,5.180000,5.220000,5.100000,5.130000,4.995462,29139700
2006-04-20,5.120000,5.170000,5.060000,5.070000,4.937036,21356500
2006-04-21,5.100000,5.120000,4.990000,5.000000,4.868872,19542800
2006-04-24,4.980000,4.990000,4.800000,4.810000,4.683855,56318200
2006-04-25,4.850000,4.970000,4.830000,4.870000,4.742281,34992100
2006-04-26,4.860000,4.930000,4.750000,4.810000,4.683855,29587700
2006-04-27,4.720000,4.840000,4.650000,4.820000,4.693593,39121200
2006-04-28,4.790000,4.830000,4.650000,4.680000,4.557264,51874800
2006-05-01,4.710000,4.780000,4.580000,4.620000,4.498837,51331600
2006-05-02,4.890000,5.010000,4.750000,4.880000,4.752019,93414900
2006-05-03,4.890000,4.900000,4.700000,4.720000,4.596215,60056000
