Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,53.689999,54.639999,53.310001,53.549999,40.884930,3432800
2007-01-04,53.549999,53.619999,53.000000,53.099998,40.541374,2068200
2007-01-05,53.160000,53.169998,52.340000,52.410000,40.014565,2104600
2007-01-08,52.349998,52.410000,51.869999,52.020000,39.716801,2440900
2007-01-09,52.169998,52.400002,51.750000,51.889999,39.617550,1319500
2007-01-10,51.779999,52.029999,51.490002,51.549999,39.357952,1699900
2007-01-11,51.790001,51.790001,51.200001,51.200001,39.090748,2825800
2007-01-12,51.250000,51.410000,51.020000,51.060001,38.983849,2853500
2007-01-16,51.169998,51.410000,51.020000,51.049999,38.976215,2753100
2007-01-17,51.049999,51.279999,50.950001,50.959999,38.907501,2728400
2007-01-18,51.099998,51.540001,51.020000,51.290001,39.159458,2488500
2007-01-19,51.419998,51.509998,51.080002,51.369999,39.220528,2294800
2007-01-22,51.369999,51.860001,51.369999,51.730000,39.495392,2478000
2007-01-23,51.740002,52.340000,51.700001,51.810001,39.556465,2431200
2007-01-24,51.810001,52.000000,51.169998,51.340000,39.197613,3369900
2007-01-25,51.189999,51.439999,50.590000,50.650002,38.670807,2459300
2007-01-26,50.650002,50.790001,50.299999,50.660000,38.678452,3017300
2007-01-29,50.810001,51.099998,50.680000,50.980000,38.922760,2462500
2007-01-30,51.080002,51.650002,50.980000,51.599998,39.396118,2185300
2007-01-31,51.680000,51.970001,50.849998,50.849998,38.823513,2918600
2007-02-01,51.500000,52.169998,51.279999,52.000000,39.701534,4171000
2007-02-02,52.180000,52.599998,51.950001,52.430000,40.029816,2199300
2007-02-05,52.270000,52.910000,52.080002,52.669998,40.213062,2482000
2007-02-06,52.950001,53.099998,52.660000,52.759998,40.281769,2614200
2007-02-07,52.759998,52.980000,52.660000,52.720001,40.251247,1800500
2007-02-08,52.869999,53.200001,52.709999,53.160000,40.587177,2201000
2007-02-09,53.160000,53.480000,52.169998,52.490002,40.075649,2811500
2007-02-12,52.459999,53.139999,52.430000,52.619999,40.174892,2408600
2007-02-13,52.799999,52.910000,52.610001,52.720001,40.251247,3516700
2007-02-14,52.970001,53.169998,52.759998,52.970001,40.442112,2219400
2007-02-15,52.849998,52.930000,52.540001,52.720001,40.251247,2583400
2007-02-16,52.419998,52.910000,52.160000,52.730000,40.258877,2223900
2007-02-20,52.830002,53.480000,52.759998,53.299999,40.694054,2536200
2007-02-21,53.000000,53.810001,52.990002,53.740002,41.029991,3282300
2007-02-22,53.580002,54.020000,53.290001,53.740002,41.029991,1502800
2007-02-23,53.740002,53.750000,52.880001,53.000000,40.465012,1581200
2007-02-26,53.049999,53.259998,52.549999,52.900002,40.388676,2459200
2007-02-27,53.150002,54.330002,50.599998,51.189999,39.083092,2133700
2007-02-28,51.240002,51.349998,50.450001,50.750000,38.747169,3027800
2007-03-01,50.360001,51.279999,49.049999,51.220001,39.106003,2688300
2007-03-02,51.220001,51.599998,50.580002,50.580002,38.617371,2474000
2007-03-05,50.299999,51.459999,50.240002,51.080002,38.999123,2129400
2007-03-06,51.080002,51.840000,50.939999,51.709999,39.480122,2415300
2007-03-07,51.299999,51.540001,50.950001,50.970001,39.111790,1979900
2007-03-08,51.200001,51.709999,50.950001,51.220001,39.303619,1675600
2007-03-09,51.750000,51.770000,51.330002,51.680000,39.656620,1217400
2007-03-12,51.700001,51.880001,50.860001,51.200001,39.288273,1989500
2007-03-13,50.799999,50.930000,49.590000,49.590000,38.052841,2773100
2007-03-14,50.900002,50.900002,48.650002,49.740002,38.167946,3506200
2007-03-15,49.639999,50.110001,49.509998,49.900002,38.290722,2243600
2007-03-16,50.139999,50.610001,49.910000,50.349998,38.636028,3579400
2007-03-19,50.599998,51.150002,50.439999,50.880001,39.042728,1537500
2007-03-20,51.419998,51.880001,51.200001,51.799999,39.748692,2891600
2007-03-21,51.910000,52.820000,51.759998,52.660000,40.408611,2171900
2007-03-22,54.000000,54.259998,52.119999,52.349998,40.170731,2548100
2007-03-23,51.250000,52.599998,51.250000,52.490002,40.278164,1259500
2007-03-26,52.599998,52.599998,51.700001,51.930000,39.848454,1663800
2007-03-27,51.700001,52.130001,51.560001,51.869999,39.802406,1883400
2007-03-28,52.000000,52.110001,51.500000,51.799999,39.748692,2022200
2007-03-29,52.330002,52.419998,51.500000,51.820000,39.764042,1539400
2007-03-30,51.910000,52.369999,51.270000,51.770000,39.725666,1813300
2007-04-02,51.270000,51.959999,50.959999,51.849998,39.787056,1513000
2007-04-03,51.860001,52.099998,51.820000,51.959999,39.871464,1520300
2007-04-04,51.959999,52.680000,51.700001,52.669998,40.416275,2371300
2007-04-05,52.669998,53.040001,52.639999,52.790001,40.508373,1328700
2007-04-09,53.040001,53.099998,52.570000,52.840000,40.546734,1060400
2007-04-10,52.840000,53.200001,52.840000,53.040001,40.700195,1331000
2007-04-11,52.970001,53.250000,52.750000,53.029999,40.692524,1702100
2007-04-12,53.180000,53.310001,52.810001,53.209999,40.830647,1377400
2007-04-13,53.200001,53.520000,52.750000,53.189999,40.815304,1574500
2007-04-16,54.250000,54.279999,53.209999,53.669998,41.183617,2100900
2007-04-17,53.669998,54.009998,53.560001,53.830002,41.306404,1913100
2007-04-18,53.549999,54.419998,53.509998,54.220001,41.605671,1805300
2007-04-19,53.250000,54.150002,53.250000,53.820000,41.298740,1270300
2007-04-20,56.990002,56.990002,53.730000,53.959999,41.406162,2636500
2007-04-23,54.099998,54.580002,53.619999,53.820000,41.298740,1527900
2007-04-24,54.250000,54.299999,53.740002,54.049999,41.475216,2338500
2007-04-25,54.509998,55.099998,54.299999,54.750000,42.012363,2393500
2007-04-26,55.000000,55.270000,53.740002,53.919998,41.375473,3042900
2007-04-27,53.919998,54.250000,53.310001,53.669998,41.183617,2790600
2007-04-30,53.799999,54.540001,53.439999,54.099998,41.513580,2879500
2007-05-01,52.970001,54.580002,52.970001,54.439999,41.774498,2626200
2007-05-02,54.799999,55.169998,54.500000,54.599998,41.897266,2085100
2007-05-03,54.950001,55.200001,54.740002,55.000000,42.204212,2620400
2007-05-04,55.299999,55.400002,54.689999,54.700001,41.974003,1937900
2007-05-07,55.299999,56.259998,55.220001,56.180000,43.109676,2591700
2007-05-08,55.910000,56.490002,55.889999,56.230000,43.148056,2471700
2007-05-09,56.230000,56.900002,56.230000,56.660000,43.478001,2253900
2007-05-10,56.360001,56.970001,55.889999,55.900002,42.894833,2040800
2007-05-11,56.200001,56.759998,56.180000,56.759998,43.554737,2246600
2007-05-14,56.639999,56.919998,55.709999,56.259998,43.171066,6281800
2007-05-15,55.910000,56.509998,55.889999,55.959999,42.940868,2522600
2007-05-16,56.150002,56.299999,55.750000,56.230000,43.148056,2475300
2007-05-17,56.270000,56.320000,55.939999,55.980000,42.956196,3054500
2007-05-18,56.090000,56.330002,55.889999,56.290001,43.194088,4173200
2007-05-21,56.480000,56.480000,55.720001,55.889999,42.887142,2274200
2007-05-22,55.639999,55.990002,55.470001,55.650002,42.702980,1849100
2007-05-23,55.849998,56.000000,55.590000,55.630001,42.687634,2784800
2007-05-24,55.369999,55.660000,54.730000,54.750000,42.012363,2939700
2007-05-25,54.709999,54.919998,54.310001,54.570000,41.874249,2305600
2007-05-29,54.439999,54.799999,54.259998,54.450001,41.782166,2492100
2007-05-30,54.080002,54.889999,54.000000,54.830002,42.073769,2411000
2007-05-31,54.770000,54.849998,53.889999,54.169998,41.567310,2792600
2007-06-01,54.169998,54.700001,54.020000,54.580002,41.881912,2674900
2007-06-04,54.349998,55.299999,54.349998,55.189999,42.350006,2153200
2007-06-05,54.799999,55.369999,54.799999,54.950001,42.165836,2229400
2007-06-06,54.810001,54.889999,54.509998,54.639999,42.150398,1817400
2007-06-07,54.410000,54.790001,53.779999,53.779999,41.486984,2234100
2007-06-08,53.869999,54.680000,53.540001,54.599998,42.119549,1977500
2007-06-11,54.450001,54.810001,54.080002,54.580002,42.104126,1933700
2007-06-12,54.330002,54.549999,53.630001,53.680000,41.409843,2180900
2007-06-13,53.939999,54.580002,53.650002,54.570000,42.096409,1840500
2007-06-14,54.720001,55.000000,53.939999,54.150002,41.772430,1678400
2007-06-15,54.430000,54.599998,53.840000,53.919998,41.594994,3348400
2007-06-18,54.040001,54.250000,53.389999,53.410000,41.201569,2153400
2007-06-19,52.299999,53.389999,52.299999,53.299999,41.116714,2105900
2007-06-20,53.330002,53.630001,52.590000,52.599998,40.576710,2580000
2007-06-21,52.500000,53.349998,52.349998,53.049999,40.923862,3224200
2007-06-22,52.750000,52.919998,52.060001,52.380001,40.406990,4383000
2007-06-25,52.380001,52.880001,51.980000,52.529999,40.522701,3691800
2007-06-26,52.970001,53.220001,52.500000,52.919998,40.823559,3466300
2007-06-27,52.480000,53.000000,52.310001,52.930000,40.831280,2256100
2007-06-28,52.950001,53.849998,52.580002,53.410000,41.201569,2063400
2007-06-29,53.810001,54.189999,53.080002,53.500000,41.270988,3158400
2007-07-02,53.730000,54.509998,53.560001,54.480000,42.026993,2079900
2007-07-03,54.810001,55.299999,54.669998,55.009998,42.435841,1439000
2007-07-05,54.860001,54.910000,54.349998,54.419998,41.980701,1702400
2007-07-06,54.290001,54.669998,54.070000,54.520000,42.057835,1668700
2007-07-09,54.700001,55.040001,54.200001,54.900002,42.350986,1649300
2007-07-10,54.500000,54.639999,52.959999,53.150002,41.000992,2860900
2007-07-11,52.919998,53.320000,52.639999,53.230000,41.062714,1665700
2007-07-12,53.369999,54.049999,53.130001,54.009998,41.664406,1922400
2007-07-13,53.860001,53.910000,53.330002,53.580002,41.332718,2357900
2007-07-16,53.410000,53.750000,53.189999,53.410000,41.201569,1166600
2007-07-17,53.180000,53.400002,52.799999,53.000000,40.885288,2050000
2007-07-18,52.930000,53.400002,52.310001,52.889999,40.800426,2811200
2007-07-19,53.259998,53.619999,53.150002,53.410000,41.201569,2796700
