Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AAPL,SHORT,2006-03-30,8.97,1,10.0,4.0,2006-04-06,9.87,6,-10
AAPL,SHORT,2006-06-09,8.74,1,10.0,4.0,2006-06-12,8.39,3,4
AAPL,LONG,2006-09-22,10.61,1,10.0,4.0,2006-09-26,11.04,4,4
AAPL,LONG,2006-11-09,11.84,1,10.0,4.0,2006-11-16,12.32,7,4
AAPL,LONG,2007-05-16,15.5,1,10.0,4.0,2007-05-22,16.12,6,4
AAPL,LONG,2007-10-12,23.29,1,10.0,4.0,2007-10-15,24.22,3,4
AAPL,LONG,2007-12-12,27.63,1,10.0,4.0,2007-12-27,28.74,15,4
AAPL,LONG,2008-04-25,24.39,1,10.0,4.0,2008-04-30,25.36,5,4
AAPL,LONG,2008-05-08,26.25,1,10.0,4.0,2008-05-13,27.3,5,4
AAPL,LONG,2008-05-15,26.69,1,10.0,4.0,2008-06-02,26.59,18,-0.38
AAPL,LONG,2009-04-07,16.65,1,10.0,4.0,2009-04-16,17.31,9,4
AAPL,LONG,2009-09-10,24.58,1,10.0,4.0,2009-09-16,25.56,6,4
AAPL,LONG,2010-03-10,31.98,1,10.0,4.0,2010-03-25,32.38,14,1.26
AAPL,LONG,2010-04-05,33.57,1,10.0,4.0,2010-04-14,34.91,9,4
AAPL,LONG,2010-04-19,35.29,1,10.0,4.0,2010-04-21,36.7,2,4
AAPL,LONG,2010-06-22,38.88,1,10.0,4.0,2010-07-01,34.99,9,-10
AAPL,LONG,2010-10-13,42.89,1,10.0,4.0,2010-10-15,44.6,2,4
AAPL,LONG,2010-11-10,45.23,1,10.0,4.0,2010-11-26,45,16,-0.52
AAPL,LONG,2010-12-08,45.66,1,10.0,4.0,2010-12-23,46.23,15,1.24
AAPL,LONG,2011-02-11,50.68,1,10.0,4.0,2011-03-01,49.9,18,-1.53
AAPL,LONG,2012-02-16,70.21,1,10.0,4.0,2012-02-21,73.02,5,4
AAPL,LONG,2012-02-28,75.42,1,10.0,4.0,2012-03-12,78.44,12,4
AAPL,LONG,2012-09-11,95.02,1,10.0,4.0,2012-09-14,98.82,3,4
AAPL,LONG,2013-10-23,74.14,1,10.0,4.0,2013-11-07,73.21,15,-1.25
AAPL,LONG,2013-10-30,74.23,1,10.0,4.0,2013-11-14,75.45,15,1.65
AAPL,LONG,2014-06-10,94.73,1,10.0,4.0,2014-06-25,90.36,15,-4.61
AAPL,LONG,2014-07-09,95.44,1,10.0,4.0,2014-07-24,97.03,15,1.67
AAPL,LONG,2014-07-17,95.03,1,10.0,4.0,2014-07-28,98.83,11,4
AAPL,LONG,2014-08-28,101.59,1,10.0,4.0,2014-09-15,101.63,18,0.04
AAPL,LONG,2014-11-17,114.27,1,10.0,4.0,2014-11-25,118.84,8,4
AAPL,LONG,2015-04-29,130.16,1,10.0,4.0,2015-05-14,128.95,15,-0.93
AAPL,LONG,2016-03-30,108.65,1,10.0,4.0,2016-04-14,112.1,15,3.18
AMZN,SHORT,2006-05-19,32.66,1,10.0,4.0,2006-05-23,35.93,4,-10
AMZN,LONG,2007-06-08,72.47,1,10.0,4.0,2007-06-25,68.66,17,-5.26
AMZN,LONG,2007-07-27,84.27,1,10.0,4.0,2007-08-01,75.84,5,-10
AMZN,LONG,2009-06-11,86.3,1,10.0,4.0,2009-06-23,77.67,12,-10
AMZN,LONG,2010-04-19,142.35,1,10.0,4.0,2010-04-21,148.04,2,4
AMZN,LONG,2011-08-02,220.32,1,10.0,4.0,2011-08-05,198.29,3,-10
AMZN,LONG,2012-09-05,247.61,1,10.0,4.0,2012-09-07,257.51,2,4
AMZN,LONG,2013-07-29,311.07,1,10.0,4.0,2013-08-13,293.97,15,-5.5
AMZN,LONG,2013-10-04,315.13,1,10.0,4.0,2013-10-18,327.74,14,4
AMZN,LONG,2013-12-30,399.41,1,10.0,4.0,2014-01-15,395.87,16,-0.89
AMZN,LONG,2014-07-23,359.05,1,10.0,4.0,2014-07-25,323.14,2,-10
AMZN,LONG,2016-07-13,746.76,1,10.0,4.0,2016-07-28,752.61,15,0.78
AMZN,LONG,2016-09-07,789.53,1,10.0,4.0,2016-09-22,804.7,15,1.92
BAC,LONG,2006-09-29,53.58,1,10.0,4.0,2006-10-16,53.71,17,0.24
BAC,LONG,2006-11-15,54.77,1,10.0,4.0,2006-12-01,53.5,16,-2.32
BAC,SHORT,2008-01-23,36.83,1,10.0,4.0,2008-01-24,40.51,1,-10
BAC,SHORT,2008-07-15,19.55,1,10.0,4.0,2008-07-16,21.5,1,-10
BAC,LONG,2009-10-16,17.16,1,10.0,4.0,2009-10-26,15.44,10,-10
BAC,LONG,2011-01-18,15.08,1,10.0,4.0,2011-01-25,13.57,7,-10
BAC,LONG,2012-09-14,9.6,1,10.0,4.0,2012-10-01,8.96,17,-6.67
BAC,LONG,2012-12-21,11.2,1,10.0,4.0,2012-12-27,11.65,6,4
BAC,LONG,2012-12-28,11.32,1,10.0,4.0,2013-01-02,11.77,5,4
BAC,LONG,2013-03-19,12.79,1,10.0,4.0,2013-04-04,11.94,16,-6.65
