numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
1046,914,132,532,514,469,445,63,69,28,1,4.12,-0.03,-0.02,-0.09,2,-2,2,2,
1046,914,132,483,563,426,488,57,75,28,1,5.18,0.17,0.11,0.59,4,-2,2,4,
1046,914,132,472,574,418,496,54,78,28,1,5.46,0.24,0.15,0.86,5,-2,2,5,
1046,914,132,448,598,406,508,42,90,70,1,6.05,0.39,0.18,1.82,10,-2,2,10,
1046,914,132,596,450,522,392,74,58,28,1,5.18,-0.32,-0.27,-0.64,2,-4,4,2,
1046,914,132,544,502,475,439,69,63,51,1,6.44,-0.13,-0.17,0.18,4,-4,4,4,
1046,914,132,532,514,467,447,65,67,114,1,6.8,-0.05,-0.12,0.43,5,-4,4,5,
1046,914,132,507,539,457,457,50,82,115,1,7.67,0.09,-0.09,1.3,10,-4,4,10,
1045,914,131,615,430,533,381,82,49,30,1,5.48,-0.38,-0.35,-0.62,2,-5,5,2,
1045,914,131,560,485,485,429,75,56,51,1,6.77,-0.2,-0.25,0.15,4,-5,5,4,
1045,914,131,548,497,477,437,71,60,133,1,7.16,-0.13,-0.21,0.42,5,-5,5,5,
1045,914,131,524,521,469,445,55,76,133,1,8.17,0.03,-0.16,1.3,10,-5,5,10,
1045,914,131,636,409,547,367,89,42,63,1,6.08,-0.54,-0.35,-1.85,2,-10,10,2,
1045,914,131,582,463,498,416,84,47,63,1,7.44,-0.34,-0.24,-1.02,4,-10,10,4,
1045,914,131,569,476,490,424,79,52,175,1,7.89,-0.29,-0.2,-0.95,5,-10,10,5,
1044,913,131,547,497,482,431,65,66,175,1,9.15,-0.13,-0.14,-0.08,10,-10,10,10,
