numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target
970,825,145,559,411,473,352,86,59,11,1,4.54,0,0.03,-0.15,28.13,-23.51,2,2
969,824,145,492,477,411,413,81,64,11,1,5.88,0.04,0.04,0.07,28.13,-23.51,2,4
969,824,145,486,483,406,418,80,65,11,1,6.12,0.08,0.08,0.11,28.13,-23.51,2,5
969,824,145,482,487,403,421,79,66,11,1,6.57,0.1,0.07,0.29,28.13,-23.51,2,10
968,823,145,650,318,544,279,106,39,11,1,5.86,0.04,0.02,0.16,28.13,-18.44,4,2
967,822,145,565,402,475,347,90,55,11,1,7.67,0.09,0.02,0.46,28.13,-18.44,4,4
967,822,145,549,418,464,358,85,60,11,1,8.08,0.14,0.1,0.39,28.13,-21.69,4,5
967,822,145,525,442,447,375,78,67,11,1,8.92,0.23,0.09,1.02,28.13,-21.69,4,10
967,823,144,666,301,555,268,111,33,11,1,6.12,0.07,0.04,0.27,28.13,-23.72,5,2
966,822,144,587,379,491,331,96,48,11,1,8.03,0.14,0.06,0.56,28.13,-23.72,5,4
966,822,144,569,397,480,342,89,55,11,1,8.46,0.19,0.14,0.43,28.13,-23.72,5,5
966,822,144,536,430,458,364,78,66,11,1,9.44,0.29,0.17,0.98,28.13,-23.72,5,10
966,823,143,681,285,566,257,115,28,11,1,6.41,0.12,0.12,0.12,28.13,-31.78,10,2
965,822,143,606,359,501,321,105,38,11,1,8.43,0.17,0.15,0.25,28.13,-39.72,10,4
965,822,143,591,374,492,330,99,44,11,1,8.91,0.23,0.25,0.12,28.13,-39.72,10,5
965,822,143,557,408,474,348,83,60,11,1,10.03,0.38,0.3,0.84,28.13,-39.72,10,10
