numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
3920,2628,1292,1862,2058,1269,1359,593,699,11,1,2.37,0,0.11,-0.21,50,-28.16,2,2,
3917,2625,1292,1545,2372,1035,1590,510,782,11,1,3.31,0.01,0.1,-0.16,50,-28.16,2,4,
3916,2624,1292,1507,2409,1013,1611,494,798,11,1,3.58,0,0.09,-0.18,50,-28.16,2,5,
3916,2624,1292,1486,2430,1002,1622,484,808,11,1,3.97,-0,0.05,-0.1,50,-28.16,2,10,
3919,2624,1295,2415,1504,1644,980,771,524,11,1,3.63,0.08,0.19,-0.15,50,-28.16,4,2,
3915,2621,1294,1926,1989,1332,1289,594,700,11,1,5.13,0.06,0.17,-0.16,50,-28.16,4,4,
3913,2620,1293,1815,2098,1275,1345,540,753,11,1,5.6,0.04,0.16,-0.21,50,-28.16,4,5,
3912,2620,1292,1679,2233,1204,1416,475,817,11,1,6.47,-0.01,0.08,-0.21,50,-28.16,4,10,
3918,2624,1294,2540,1378,1719,905,821,473,11,1,4.06,0.13,0.25,-0.12,50,-28.16,5,2,
3913,2620,1293,2086,1827,1423,1197,663,630,11,1,5.73,0.13,0.23,-0.08,50,-28.16,5,4,
3912,2619,1293,1952,1960,1361,1258,591,702,11,1,6.26,0.1,0.22,-0.15,50,-28.16,5,5,
3910,2618,1292,1775,2135,1277,1341,498,794,11,1,7.27,0.02,0.14,-0.24,50,-28.16,5,10,
3918,2624,1294,2751,1167,1823,801,928,366,11,1,5.01,0.22,0.36,-0.06,50,-28.16,10,2,
3910,2618,1292,2313,1597,1539,1079,774,518,11,1,6.98,0.21,0.35,-0.09,50,-28.16,10,4,
3909,2617,1292,2198,1711,1490,1127,708,584,11,1,7.62,0.18,0.36,-0.19,50,-28.16,10,5,
3907,2615,1292,2002,1905,1409,1206,593,699,11,1,8.89,0.15,0.31,-0.18,50,-28.16,10,10,
