Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AAPL,SHORT,2006-03-30,8.97,1,4.0,4.0,2006-04-05,9.33,5,-4
AAPL,SHORT,2006-06-09,8.74,1,4.0,4.0,2006-06-12,8.39,3,4
AAPL,LONG,2007-05-16,15.5,1,4.0,4.0,2007-05-22,16.12,6,4
AAPL,LONG,2007-10-12,23.29,1,4.0,4.0,2007-10-15,24.22,3,4
AAPL,LONG,2007-12-12,27.63,1,4.0,4.0,2007-12-17,26.53,5,-4
AAPL,LONG,2010-03-10,31.98,1,4.0,4.0,2010-03-29,33.25,18,4
AAPL,LONG,2010-04-05,33.57,1,4.0,4.0,2010-04-14,34.91,9,4
AAPL,LONG,2010-04-19,35.29,1,4.0,4.0,2010-04-21,36.7,2,4
AAPL,LONG,2010-06-22,38.88,1,4.0,4.0,2010-06-29,37.32,7,-4
AAPL,LONG,2010-10-13,42.89,1,4.0,4.0,2010-10-15,44.6,2,4
AAPL,LONG,2010-11-10,45.23,1,4.0,4.0,2010-11-12,43.42,2,-4
AAPL,LONG,2010-12-08,45.66,1,4.0,4.0,2011-01-04,47.49,27,4
AAPL,LONG,2011-02-11,50.68,1,4.0,4.0,2011-02-22,48.65,11,-4
AAPL,LONG,2012-02-16,70.21,1,4.0,4.0,2012-02-21,73.02,5,4
AAPL,LONG,2012-02-28,75.42,1,4.0,4.0,2012-03-12,78.44,12,4
AAPL,LONG,2012-09-11,95.02,1,4.0,4.0,2012-09-14,98.82,3,4
AAPL,LONG,2014-08-28,101.59,1,4.0,4.0,2014-09-09,97.53,12,-4
AAPL,LONG,2014-11-17,114.27,1,4.0,4.0,2014-11-25,118.84,8,4
AAPL,LONG,2015-04-29,130.16,1,4.0,4.0,2015-04-30,124.95,1,-4
AMZN,SHORT,2006-05-19,32.66,1,4.0,4.0,2006-05-22,33.97,3,-4
AMZN,LONG,2007-06-08,72.47,1,4.0,4.0,2007-06-12,69.57,4,-4
AMZN,LONG,2007-07-27,84.27,1,4.0,4.0,2007-07-31,80.9,4,-4
AMZN,LONG,2010-04-19,142.35,1,4.0,4.0,2010-04-21,148.04,2,4
AMZN,LONG,2011-08-02,220.32,1,4.0,4.0,2011-08-03,211.51,1,-4
