numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
87,74,13,31,56,26,48,5,8,5,1,1.94,-0.43,-0.29,-1.22,15.72,-7.4,2,2,
87,74,13,27,60,23,51,4,9,5,1,2.4,-0.34,-0.21,-1.06,15.72,-7.4,2,4,
87,74,13,25,62,22,52,3,10,5,1,2.49,-0.4,-0.23,-1.37,15.72,-7.4,2,5,
87,74,13,23,64,22,52,1,12,6,1,2.83,-0.47,-0.16,-2.25,15.72,-7.4,2,10,
87,74,13,42,45,36,38,6,7,5,1,2.41,-0.37,-0.18,-1.43,15.72,-7.4,4,2,
87,74,13,38,49,32,42,6,7,6,1,3.05,-0.16,-0.03,-0.9,15.72,-7.4,4,4,
87,74,13,38,49,32,42,6,7,6,1,3.15,-0.06,0.1,-0.95,15.72,-7.4,4,5,
87,74,13,34,53,30,44,4,9,6,1,3.62,-0.21,0.04,-1.6,15.72,-7.4,4,10,
87,74,13,45,42,39,35,6,7,6,1,2.66,-0.4,-0.16,-1.74,15.72,-7.4,5,2,
87,74,13,41,46,35,39,6,7,6,1,3.32,-0.21,-0.04,-1.2,15.72,-7.4,5,4,
87,74,13,41,46,35,39,6,7,6,1,3.43,-0.11,0.09,-1.25,15.72,-7.4,5,5,
87,74,13,37,50,33,41,4,9,6,1,3.93,-0.26,0.04,-1.98,15.72,-7.4,5,10,
87,74,13,49,38,42,32,7,6,6,1,3.16,-0.57,-0.15,-2.98,15.72,-12.35,10,2,
87,74,13,44,43,38,36,6,7,6,1,3.84,-0.5,0.03,-3.53,15.72,-12.35,10,4,
87,74,13,43,44,37,37,6,7,6,1,3.97,-0.49,0.05,-3.58,15.72,-12.35,10,5,
87,74,13,39,48,35,39,4,9,6,1,4.51,-0.59,0.07,-4.38,15.72,-12.35,10,10,
