Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AKS,LONG,2007-04-02,23.95,1,1.0,4.0,2007-04-04,23.71,2,-1
AKS,LONG,2010-01-08,24.41,1,1.0,4.0,2010-01-11,26.49,1,8.52
AKS,LONG,2010-12-21,16.49,1,1.0,4.0,2010-12-22,16.33,1,-1
AKS,SHORT,2011-05-17,14.04,1,1.0,4.0,2011-05-18,14.33,1,-2.07
AKS,SHORT,2011-09-26,6.67,1,1.0,4.0,2011-09-27,7.27,1,-9
AKS,LONG,2013-12-23,7.53,1,1.0,4.0,2013-12-24,7.83,1,4
AKS,LONG,2015-05-14,5.86,1,1.0,4.0,2015-05-15,5.79,1,-1.19
AKS,SHORT,2015-07-22,2.6,1,1.0,4.0,2015-07-23,2.72,1,-4.62
AAPL,LONG,2010-04-06,34.11,1,1.0,4.0,2010-04-15,35.48,7,4
AAPL,LONG,2013-10-24,75.5,1,1.0,4.0,2013-10-28,74.75,2,-1
BAC,SHORT,2010-02-09,14.3,1,1.0,4.0,2010-02-10,14.51,1,-1.47
BAC,SHORT,2010-10-19,11.73,1,1.0,4.0,2010-10-20,11.85,1,-1
BAC,LONG,2013-07-22,14.86,1,1.0,4.0,2013-07-24,14.71,2,-1
BAC,LONG,2015-06-05,17.04,1,1.0,4.0,2015-06-29,16.87,17,-1
BBY,LONG,2007-10-05,49.37,1,1.0,4.0,2007-10-08,48.88,1,-1
BBY,LONG,2009-09-08,39.88,1,1.0,4.0,2009-09-09,41.48,1,4
BBY,SHORT,2010-01-26,37.05,1,1.0,4.0,2010-01-27,37.42,1,-1
BBY,SHORT,2012-11-20,12.82,1,1.0,4.0,2012-11-20,12.31,1,4
BBY,LONG,2013-03-08,19.51,1,1.0,4.0,2013-03-11,20.29,1,4
BBY,LONG,2014-06-27,30.68,1,1.0,4.0,2014-07-03,31.91,4,4
BCS,SHORT,2011-08-10,9.97,1,1.0,4.0,2011-08-11,10.07,1,-1
BCS,SHORT,2016-01-06,12.39,1,1.0,4.0,2016-01-08,11.89,3,4
BRCD,SHORT,2007-06-29,8,1,1.0,4.0,2007-07-02,8.08,1,-1
BRCD,LONG,2007-10-31,9.6,1,1.0,4.0,2007-11-01,9.34,1,-2.71
BRCD,SHORT,2009-03-03,2.32,1,1.0,4.0,2009-03-04,2.34,1,-1
BRCD,SHORT,2010-07-06,4.89,1,1.0,4.0,2010-07-07,4.97,1,-1.64
BRCD,LONG,2011-11-25,5.11,1,1.0,4.0,2011-11-28,5.31,1,4
BRCD,LONG,2012-08-21,5.86,1,1.0,4.0,2012-08-22,5.8,1,-1
BRCD,SHORT,2015-07-13,10.97,1,1.0,4.0,2015-07-14,11.08,1,-1
BRCD,LONG,2016-08-23,10.28,1,1.0,4.0,2016-08-25,10.17,2,-1.07
C,SHORT,2007-07-24,501.49,1,1.0,4.0,2007-07-26,481.43,2,4
C,LONG,2012-09-13,34.5,1,1.0,4.0,2012-09-17,34.15,2,-1
C,SHORT,2014-01-31,47.51,1,1.0,4.0,2014-01-31,47.99,1,-1
C,LONG,2015-06-05,56.03,1,1.0,4.0,2015-06-09,55.47,2,-1
CSCO,LONG,2007-07-16,29.98,1,1.0,4.0,2007-07-17,29.68,1,-1
CSCO,SHORT,2008-01-04,26.2,1,1.0,4.0,2008-01-08,26.46,2,-1
CSCO,SHORT,2008-07-09,22.22,1,1.0,4.0,2008-07-14,21.33,4,4
CSCO,LONG,2010-03-25,26.76,1,1.0,4.0,2010-03-26,26.44,1,-1.2
CSCO,LONG,2013-01-16,21,1,1.0,4.0,2013-01-17,20.79,1,-1
DAL,SHORT,2007-12-14,14.82,1,1.0,4.0,2007-12-17,15.61,1,-5.33
